A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.1. ETAT ;A.1.1.1.1. ;Mauvais �tat de la plaque avant / D�collement de num�ro ;2; ;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.2. FONCTIONNEMENT ;B.3.5.2.2.;Non fonctionnement de deux ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.2. FONCTIONNEMENT ;B.3.5.2.3.;Intensit� lumineuse insuffisante  (D/G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.2. FONCTIONNEMENT ;B.3.5.2.4.;Emission de lumi�re blanche vers l�arri�re ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.3. FIXATION ;B.3.5.3.1.;Mauvaise fixation ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.5. FEU STOP ;B.3.5.3. FIXATION ;B.3.5.4.1.;Absence (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.6. FEU DE PLAQUE AR ;B.3.6.1. FONCTIONNEMENT ;B.3.6.1.1.;Non fonctionnement d'un feu ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.6. FEU DE PLAQUE AR ;B.3.6.1. FONCTIONNEMENT ;B.3.6.1.2.;Non fonctionnement de tous les feux ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.6. FEU DE PLAQUE AR ;B.3.6.1. FONCTIONNEMENT ;B.3.6.1.3.;Couleur de signalisation modifi�e ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.6. FEU DE PLAQUE AR ;B.3.6.2. FIXATION ;B.3.6.2.1.;Mauvaise fixation ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.6. FEU DE PLAQUE AR ;B.3.6.3. EXISTENCE ;B.3.6.3.1.;Absence de feu ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.7. FEU DE RECUL ;B.3.7.1. ETAT ET FONCTIONNEMENT ;B.3.7.1.1.;Feu de recul: fissure/ cassure ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.7. FEU DE RECUL ;B.3.7.1. ETAT ET FONCTIONNEMENT ;B.3.7.1.2.;Non fonctionnement du feu de recul ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.7. FEU DE RECUL ;B.3.7.1. ETAT ET FONCTIONNEMENT ;B.3.7.1.3.;Eclairage permanent du feu de recul ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.7. FEU DE RECUL ;B.3.7.2. FIXATION ;B.3.7.2.1.;Absence ou mauvaise fixation (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.7. FEU DE RECUL ;B.3.7.3. EXISTENCE ;B.3.7.3.1.;Absence de feu de recul ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.8. FEU DE GABARIT Si la longueur du v�hicule l'exige ;B.3.8.1. ETAT ;B.3.8.1.1.;Couleur de signalisation modifi�e ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.8. FEU DE GABARIT Si la longueur du v�hicule l'exige ;B.3.8.1. ETAT ;B.3.8.1.2.;Mauvais �tat ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.8. FEU DE GABARIT Si la longueur du v�hicule l'exige ;B.3.8.2. FONCTIONNEMENT ;B.3.8.2.1.;Non fonctionnement du feu de gabarit ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.8. FEU DE GABARIT Si la longueur du v�hicule l'exige ;B.3.8.2. FONCTIONNEMENT ;B.3.8.2.2.;Mauvais montage du feu de gabarit ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.8. FEU DE GABARIT Si la longueur du v�hicule l'exige ;B.3.8.3. FIXATION ;B.3.8.3.1.;Mauvaise fixation du feu de gabarit ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.8. FEU DE GABARIT Si la longueur du v�hicule l'exige ;B.3.8.3. FIXATION ;B.3.8.3.2.;Mauvaise positionnement du feu de gabarit ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.8. FEU DE GABARIT Si la longueur du v�hicule l'exige ;B.3.8.4. EXISTENCE ;B.3.8.4.1.;Absence du feu de gabarit ;2;PARC SOUMIS ;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.9. TRIANGLE DE PRESIGNALISATION (pour les v�hicules de transport) ;B.3.9.1. ETAT ;B.3.9.1.1.;Mauvais �tat ;2; ;;
B. ECLAIRAGE, SIGNALISATION ;B.3. SIGNALISATION ;B.3.9. TRIANGLE DE PRESIGNALISATION (pour les v�hicules de transport) ;B.3.9.2. EXISTENCE ;B.3.9.2.1.;Absence ;2;PARC SOUMIS UNIQUEMENT ;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.1. CATADIOPTRE ARRIERE ;B.4.1.1. ETAT ;B.4.1.1.1.;D�t�rioration importante (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.1. CATADIOPTRE ARRIERE ;B.4.1.1. ETAT ;B.4.1.1.2.;Catadioptres non r�fl�chissants (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.1. CATADIOPTRE ARRIERE ;B.4.1.1. ETAT ;B.4.1.1.3.;Forme inappropri�e (SR) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.1. CATADIOPTRE ARRIERE ;B.4.1.1. ETAT ;B.4.1.1.4.;Dimensions inappropri�es ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.1. CATADIOPTRE ARRIERE ;B.4.1.2. FIXATION ;B.4.1.2.1.;Mauvaise fixation (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.1. CATADIOPTRE ARRIERE ;B.4.1.3. EXISTENCE ;B.4.1.3.1.;Absence (D, G) ;2;PARC SOUMI UNIQUEMENT ;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.2. DISPOSITIF REFLECHISSANT ARRIERE ;B.4.2.1. ETAT ;B.4.2.1.1.;Mauvais �tat ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.2. DISPOSITIF REFLECHISSANT ARRIERE ;B.4.2.1. ETAT ;B.4.2.1.2.;Non r�fl�chissant ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.2. DISPOSITIF REFLECHISSANT ARRIERE ;B.4.2.2. COULEUR ;B.4.2.2.1.;Couleur Inappropri� (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.2. DISPOSITIF REFLECHISSANT ARRIERE ;B.4.2.3. DIMENSIONS ;B.4.2.3.1.;Dimensions non conforme (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.2. DISPOSITIF REFLECHISSANT ARRIERE ;B.4.2.4. EXISTENCE ;B.4.2.4.1.;Absence (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.2. DISPOSITIF REFLECHISSANT ARRIERE ;B.4.2.5. FIXATION ;B.4.2.5.1.;Mauvais positionnement ;2;PARC SOUMI UNIQUEMENT ;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.3. DISPOSITIF REFLECHISSANT LATERAL ;B.4.3.1. ETAT ;B.4.3.1.1.;Mauvais �tat ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.3. DISPOSITIF REFLECHISSANT LATERAL ;B.4.3.1. ETAT ;B.4.3.1.2.;Non r�fl�chissant ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.3. DISPOSITIF REFLECHISSANT LATERAL ;B.4.3.2. COULEURS ;B.4.3.2.1.;Couleur Inappropri�e (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.3. DISPOSITIF REFLECHISSANT LATERAL ;B.4.3.3. DIMENSIONS ;B.4.3.3.1.;Dimensions non conforme (D, G) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.3. DISPOSITIF REFLECHISSANT LATERAL ;B.4.3.4. EXISTENCE ;B.4.3.4.1.;Absence (AV, AR) ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.4. DISPOSITIF REFLECHISSANT ;B.4.3. DISPOSITIF REFLECHISSANT LATERAL ;B.4.3.5. FIXATION ;B.4.3.5.1.;Mauvais positionnement ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.1. TEMOIN DE FEUX DE ROUTE ;B.5.1.1. FONCTIONNEMENT ;B.5.1.1.1.;Non fonctionnement ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.2. TEMOIN DE SIGNAL DE DETRESSE ;B.5.2.1. FONCTIONNEMENT ;B.5.2.1.1.;Non fonctionnement ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.3. TEMOIN DE FEUX DE BROUILLARD AR ;B.5. 3.1. FONCTIONNEMENT ;B.5.3.1.1.;Non fonctionnement ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.4. TEMOIN INDICATEUR DE DIRECTION ;B 5.4.1. FONCTIONNEMENT ;B.5.4.1.1.;Non fonctionnement ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.5. COMMANDE D'ECLAIRAGE ;B 5.5.1. ETAT ;B.5.5.1.1.;D�t�rioration de la commande d��clairage ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.5. COMMANDE D'ECLAIRAGE ;B.5.5.2. FIXATION ;B.5.5.2.1.;Mauvaise fixation de la commande d��clairage ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.5. COMMANDE D'ECLAIRAGE ;B.5.5.3. EXISTENCE ;B.5.5.3.1.;Absence de la commande d��clairage ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.6. COMMANDE DE SIGNALISATION ;B 5.6.1. ETAT ;B.5.6.1.1.;D�t�rioration de la commande de signalisation ;1;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.6. COMMANDE DE SIGNALISATION ;B.5.6.2. FIXATION ;B.5.6.2.1.;Mauvaise fixation de la commande de signalisation ;2;;;
B. ECLAIRAGE, SIGNALISATION ;B.5. ELEMENTS DE COMMANDE ET D'INFORMATION ;B.5.6. COMMANDE DE SIGNALISATION ;B.5.6.3. EXISTENCE ;B.5.6.3.1.;Absence de la commande de signalisation ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.1. MESURES ;C.1.1.1.1.;Assise de Si�ge : Dimensions non conformes ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.1. MESURES ;C.1.1.1.2.;Distance entre deux dossiers non conformes ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.1. MESURES ;C.1.1.1.3.;Distance entre deux dossiers face � face non conformes ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.1. MESURES ;C.1.1.1.4.;Strapontins : Dimensions non conformes ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.1. MESURES ;C.1.1.1.5.;Largeur de banquette non conforme ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.1. MESURES ;C.1.1.1.6.;longueur de banquette non conforme ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.2. ETAT ;C.1.1.2.1.;D�t�rioration mineure ;1;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.2. ETAT ;C.1.1.2.2.;D�t�rioration importante ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.2. ETAT ;C.1.1.2.3.;Parties saillantes dangereuses ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.3. FIXATION ;C.1.1.3.1.;Mauvaise fixation de si�ge ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.4. NOMBRE ;C.1.1.4.1.;Nombre de si�ges sup�rieur au nombre autoris� (Carte  Grise) ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.4. NOMBRE ;C.1.1.4.2.;Nombre de si�ges inf�rieur au nombre autoris� (Carte  Grise) ;1;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.4. NOMBRE ;C.1.1.4.3.;Strapontins non autoris�s ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.1. SIEGE si obligatoire ;C.1.1.5. FONCTIONNEMENT ;C.1.1.5.1.;Strapontins fonctionnement non automatique ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.1.;Couloir d�acc�s : largeur inf�rieur � 50 cm ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.10.;Marche pied dimensions non conforme / d�t�rioration importante ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.2.;Couloir central : largeur inf�rieur � 30 cm ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.3.;Hauteur sous planch�  (1,65m) Transport assis ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.4.;Hauteur sous planch� (1,80m) Transport debout ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.5.;Porte d'acc�s 1,50m X 0,60m ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.6.;Porte de d�gagement 1,40m X 0,60m ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.7.;Issue de secours 0,60mX0, 45m / Nombre insuffisant ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.8.;Absence barre de protection ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.2. AMENAGEMENT ;;C.1.2.9.;Absence de commande manuelle de portes ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.3. CEINTURE DE SECURITE (Si obligatoire) ;C.1.3.1. ETAT ;C.1.3.1.1.;D�t�rioration importante d'au moins une ceinture (AVD, AVG,C, ARD, ARG) ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.3. CEINTURE DE SECURITE (Si obligatoire) ;C.1.3.2. FONCTIONNEMENT ;C.1.3.2.1.;Mauvais fonctionnement d'au moins une ceinture (AVD, AVG,C, ARD, ARG) ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.3. CEINTURE DE SECURITE (Si obligatoire) ;C.1.3.3. FIXATION ;C.1.3.3.1.;Mauvaise fixation d'au moins une ceinture ((AVD, AVG,C, ARD, ARG) ;2;;;
C. EQUIPEMENTS ;C.1. HABITACLE ;C.1.3. CEINTURE DE SECURITE (Si obligatoire) ;C.1.3.4. EXISTENCE ;C.1.3.4.1.;Absence d'au moins une ceinture (AVD, AVG,C, ARD, ARG) ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.1. AVERTISSEUR SONORE ;C.2.1.1. FONCTIONNEMENT ;C.2.1.1.1.;Non fonctionnement ;1;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.1. AVERTISSEUR SONORE ;C.2.1.1. FONCTIONNEMENT ;C.2.1.1.2.;Non autoris� (Son altern�) ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.2. BATTERIE ;C.2.2.1. ETAT ;C.2.2.1.1.;Impossibilit� de d�marrage �lectrique ;1;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.2. BATTERIE ;C.2.2.2. FIXATION ;C.2.2.2.1.;Fixation inadapt�e ;1;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.2. BATTERIE ;C.2.2.2. FIXATION ;C.2.2.2.2.;Absence de fixation ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.3. SUPPORT ROUE DE SECOURS ;C.2.3.1. FIXATION ;C.2.3.1.1.;Mauvaise fixation ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.1. MESURE ;C.2.4.1.1.;Diam�tre du pivot d�attelage non conforme 49mm / 87mm valeur minimum ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.1. MESURE ;C.2.4.1.2.;Diam�tre d�attelage de la sellette non conforme ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.2. ETAT ;C.2.4.2.1.; Usure prononc�e du pivot d�attelage ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.2. ETAT ;C.2.4.2.2.;Usure prononc�e de la sellette d�attelage ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.2. ETAT ;C.2.4.2.3.;Diam�tre de la sellette ovalis� / non conforme ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.2. ETAT ;C.2.4.2.4.;Fisure/cassure de la sellette ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.2. ETAT ;C.2.4.2.5.;Timon / Cha�ne de s�curit�, d�t�rioration importante ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.3. FIXATION ;C.2.4.3.1.;Mauvaise fixation de l�attelage ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.3. FIXATION ;C.2.4.3.2.;Mauvaise fixation du pivot d�attelage ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.3. FIXATION ;C.2.4.3.3.;Mauvaise fixation de la sellette d�attelage ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.3. FIXATION ;C.2.4.3.4.;Mauvaise fixation du Timon / Cha�ne de s�curit� ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.4. DISPOSITIF D'ATTELAGE ;C.2.4.4. EXISTENCE ;C.2.4.4.1.;Absence de Cha�ne de s�curit� (cas de remorque) ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.5. BEQUILLE DE SEMI REMORQUE ;C.2.5.1. ETAT ;C.2.5.1.1.;D�t�rioration importante ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.5. BEQUILLE DE SEMI REMORQUE ;C.2.5.2. FIXATION ;C.2.5.2.1.;Mauvaise fixation de la b�quille ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.5. BEQUILLE DE SEMI REMORQUE ;C.2.5.3. FONCTIONNEMENT ;C.2.5.3.1.;Mauvais fonctionnement de la b�quille ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.5. BEQUILLE DE SEMI REMORQUE ;C.2.5.3. FONCTIONNEMENT ;C.2.5.3.2.;D�formation de la b�quille ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.5. BEQUILLE DE SEMI REMORQUE ;C.2.5.4. EXISTENCE ;C.2.5.4.1.;Absence de la b�quille ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.6. GYROPHARE ;C.2.6.1. ETAT ;C.2.6.1.1.;Cassure / fissure du gyrophare ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.6. GYROPHARE ;C.2.6.2. FIXATION ;C.2.6.2.1.;Mauvaise fixation du gyrophare ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.6. GYROPHARE ;C.2.6.3. FONCTIONNEMENT ;C.2.6.3.1.;Non  fonctionnement du gyrophare ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.6. GYROPHARE ;C.2.6.3. FONCTIONNEMENT ;C.2.6.3.2.;Couleur du gyrophare inappropri�e ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.6. GYROPHARE ;C.2.6.4. EXISTENCE ;C.2.6.4.1.;Absence du gyrophare ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.6. GYROPHARE ;C.2.6.4. EXISTENCE ;C.2.6.4.2.;Absence de l'autorisation de montage ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.7. COMPTEUR KILOMETRIQUE ;C.2.7.1. FONCTIONNEMENT ;C.2.7.1.1.;indicateur de vitesse : non fonctionnement ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.7. COMPTEUR KILOMETRIQUE ;C.2.7.1. FONCTIONNEMENT ;C.2.7.1.2.;Totalisateur de vitesse : non fonctionnement ;1;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.8. BOITES DE PREMIERS SECOURS et EXTINCTEURS (Si obligatoire) ;C.2.8.1.ETAT ;C.2.8.1.1.;Date limite de validit� de la charge de l'extincteur d�pass�e ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.8. BOITES DE PREMIERS SECOURS et EXTINCTEURS (Si obligatoire) ;C.2.8.1.ETAT ;C.2.8.1.2.;Extincteur d�goupill� ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.8. BOITES DE PREMIERS SECOURS et EXTINCTEURS (Si obligatoire) ;C.2.8.2. EXISTENCE ;C.2.8.2.1.;Absence de la boite de premiers secours (TP) ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.8. BOITES DE PREMIERS SECOURS et EXTINCTEURS (Si obligatoire) ;C.2.8.2. EXISTENCE ;C.2.8.2.2.;Absence de l�extincteur ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.8. BOITES DE PREMIERS SECOURS et EXTINCTEURS (Si obligatoire) ;C.2.8.2. EXISTENCE ;C.2.8.2.3.;Capacit� de l�extincteur insuffisante ;2;;;
C. EQUIPEMENTS ;C.2. AUTRES EQUIPEMENTS ;C.2.8. BOITES DE PREMIERS SECOURS et EXTINCTEURS (Si obligatoire) ;C.2.8.2. EXISTENCE ;C.2.8.2.4.;Nombre d'extincteurs insuffisant  (Citerne � carburant) ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.1. FREIN DE SERVICE ;D.1.1.1. FONCTIONNEMENT ;D.1.1.1.1.;Anomalie de  fonctionnement du frein de service / Course p�dale ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.1. FREIN DE SERVICE ;D.1.1.1. FONCTIONNEMENT ;D.1.1.1.2.;D�s�quilibre entre les roues de l�essieu avant ;1;;;
D. FREINAGE ;D.1. MESURES ;D.1.1. FREIN DE SERVICE ;D.1.1.1. FONCTIONNEMENT ;D.1.1.1.3.;D�s�quilibre entre les roues de l�essieu arri�re ;1;;;
D. FREINAGE ;D.1. MESURES ;D.1.1. FREIN DE SERVICE ;D.1.1.1. FONCTIONNEMENT ;D.1.1.1.4.;D�s�quilibre important entre les roues de l�essieu avant ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.1. FREIN DE SERVICE ;D.1.1.1. FONCTIONNEMENT ;D.1.1.1.5.;D�s�quilibre important entre les roues de l�essieu arri�re ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.1. FREIN DE SERVICE ;D.1.1.1. FONCTIONNEMENT ;D.1.1.1.6.;Efficacit� globale inferieur au seuil r�glementaire ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.1. FREIN DE SERVICE ;D.1.1.1. FONCTIONNEMENT ;D.1.1.1.7.;Freinage r�siduel important ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.1. FREIN DE SERVICE ;D.1.1.2. DIVERS ;D.1.1.2.1.;Contr�le du frein de service impossible ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.2. FREIN DE STATIONNEMENT ;D.1.2.1. FONCTIONNEMENT ;D.1.2.1.1.;Anomalie de fonctionnement du frein de stationnement ou du frein de secours ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.2. FREIN DE STATIONNEMENT ;D.1.2.1. FONCTIONNEMENT ;D.1.2.1.2.;Non fonctionnement frein de rupture d'attelage ;2;;;
